CName,EName,CToldescribe,EToldescribe,CoastalActivities,Amenities,Px,Py,Tel,CAdd,EAdd,Opentime,OpenremarkC,OpenremarkE,Picture1,Picdescribe1C,Picdescribe1E,Picture2,Picdescribe2C,Picdescribe2E,Website,Ticketinfo,Remarks,Facebook,Twitter,Video,MapLink,Changtime
"CName","EName","CToldescribe","EToldescribe","CoastalActivities","Amenities","Px","Py","Tel","CAdd","EAdd","Opentime","OpenremarkC","OpenremarkE","Picture1","Picdescribe1C","Picdescribe1E","Picture2","Picdescribe2C","Picdescribe2E","Website","Ticketinfo","Remarks","Facebook","Twitter","Video","MapLink","Changtime"
"成功海岸坑道","ChenggongTunnelandChenggongBeach","由花崗岩盤鑿而成的成功坑道，位在熱門景點陳景蘭洋樓前方，結合了海岸坑道民防坑道兩項功能而成，相較於金門其他坑道，成功坑道的規模較小，但指揮所、戰防砲陣地、高砲陣地、機槍堡、寢室、廚房一應俱全，在戰時發揮很大的功用。目前有設置許多人像，模擬過去防禦的畫面，戰車碉堡停放一M-41戰車供近距離接觸。總長560公尺的坑道以中興亭為兩邊的分界點，往出海口段由軍方把持，負責監視料羅灣海域情形，另一端接往正義里公所，是居民們避難自衛的空間，十足體現金門過去軍民一家的氛圍。如今成功坑道及海灘褪下了戰時的肅殺氣息，蔚藍大海搖身成為金門夏季最熱門的戲水場所之一！藍眼淚每年４至６月，因為風向及溫度的改變，金門海域常有藍眼淚美景產生，成功海灘因為容易抵達、安全性高，是相當適合觀賞藍眼淚的地方！","Walk2minutesthroughaparkanddownahillfromKinmen'slargestwestern-stylehouse(ChenJing-LanHouse)，andyou'llcometothisgoodexampleofaclassiccoastaldefensestronghold.?Builtintograniterock，thisservedasbothacoastalandcivildefensetunnel.WhilenotasmassiveassomeothertunnelsinKinmen，it'sneverthelesswell-equippedwithacommandpost，howitzerbase，pillbox，anti-aircraftartillerybase，dormitoryandevenakitchen.Inthetunnel，statueshelpbringtolifehowsoldiersdefendedKinmenintheeraofmartiallaw.There'salsoanM41tankinthetankbunkerforyoutoexamine.Thetunnelis560meterslong，dividedintotwosectionsbytheZongxingPavillion.ThesectiontowardstheseawascontrolledbythemilitarytoenablethemtocloselymonitorLialoBay.TheothersectionleadstotheZhongyiVillageOffice，andwasusedasanairraidshelter.Thisdivisionofthetunnel'sfunctionsillustratesthecloserelationshipbetweenthemilitaryandciviliansinthepast.Nownormallyapeacefulquietbeach，everyyearinJulyorAugust，itbecomesabitlivelierduringtheJinhuBeachClamSeason.ChecktheEventspagefordetails，includingthedateofamusicconcertheldatthebeach.Ifyou'reinKinmenbetweenAprilandJune，anothergoodreasontovisitChenggongBeachistoseetheSeaofStarsnaturalmarinephenomena.Goatnight，withinthreedaysbeforeorafterthefirstdayofthelunarmonth，andwhenthewindisfromthesouth.Iftheconditionsareright，ChenggongBeachprovidesaneasilyaccessibleandsafeplacetoviewthisspectacularnaturallightshow.","26","2，3，4，15","118.38954","24.43542","886-82-332528","金門縣金湖鎮正義里成功村(鄰近陳景蘭洋樓)?","ChenggongVillage，ZhengyiVillage(nearbyChenJing-LanWestern-StyleHouse)，JinhuTownship，KinmenCountyTaiwan，R.O.C?","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1637","免費","","","","","","44456"
"陳景蘭洋樓.金湯公園","ChenJing-lanWestern-styleHouse","這是金門旅居新加坡僑商陳景蘭於公元1921年興建的洋樓宅第，也是金門規模最大的一棟洋樓，是金門華僑回鄉興建「番仔樓」代表作。淨白色的外觀讓陳景蘭洋樓多添了些洋味，精緻的雕花與對稱拱門，猶如西洋建築的工法，是陳景蘭洋樓最令人印象深刻的部份。金湯公園陳景蘭洋樓的正前方就是金湯公園，中央立有一座自由女神，和洋樓的氣質相互交會，顯得高貴大方，附近的成功海灘與坑道，可以融入你參訪行程中的一部分。","ThisimpressivemansionistheresultofoneKinmenbusinessman'ssuccessinSingaporeintheearly1900s.Itsall-whiteexterior，finecarvingsandsymmetricarchwaysareallfeaturesthatgiveitawesternratherthanChineselook.In1949，thisbuildingwastakenoverbythemilitaryforhousing.Itsubsequentlywasusedasamilitaryhospital，recreationcenterformilitarypersonnelonleaveandKinmenSecondarySchoolbuilding.Todayitmakesabeautifulbackdropforweddingphotos.JinTangParkBefittingthegrandeurofthislargewestern-stylehouseisalovelyparkslopingdowntothesea…andinthecenterofit，astatueoflibertyreplicaechoingthewesternambience.","28","2，3，4，15","118.39009","24.43727","886-82-332528","金門縣金湖鎮正義里成功村1號?","No.1，ChenggongVillage，ZhengyiNeighborhood，JinhuTownship，KinmenCountyTaiwan，R.O.C?","每天09:00-17:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／649","免費","","","","","","44456"
"料羅海濱公園","LiuluoSeasidePark","料羅灣位居金門東南海岸，在昔日歷次的戰役中，因負有運補物資的重任，而成為中國人民解放軍砲擊的主要目標，國民黨軍在槍林彈雨中冒險搶灘的鏡頭，早已成為料羅灣令人動容、記憶深刻的歷史畫面。現今的料羅，因綿延潔淨的沙灘與明媚的漁村風光，已規劃成料羅海濱公園，建有遊客中心、綠地、涼亭、沖洗等設施，適合全家大小前來戲水踏浪，而夕陽西下時的料羅海灣別具寧靜之美。海濱公園與南端的媽祖公園相連，立於高台上的媽祖塑像成為此處的新地標。","LiuluoBayislocatedonthesoutheastcoastofKinmen.Inpreviousbattles，itwasthemaintargetoftheChinesePeople’sLiberationArmy’sshellingduetotheheavyresponsibilityoftransportingsupplies.ThefootageoftheKuomintangarmyventuringtolandintherainofbulletshaslongbecomeLiuluoBay.Amovingandmemorablehistoricalpicture.Today'sLiaoluo，duetothestretchofcleanbeachesandbrightfishingvillagescenery，hasbeenplannedasLiaoluoSeasidePark，withavisitorcenter，greenspace，pavilions，washingandotherfacilities，suitableforthewholefamilytocometoplayinthewaterandthewaves，whilethesunsetsTheLiuluoBayatthenexttimehasauniquetranquilbeauty.TheWaterfrontParkisconnectedtotheMazuParkatthesouthernend，andthestatueofMazustandingonahighplatformhasbecomeanewlandmarkhere.","26","2，3，4，15","118.43351","24.41749","","金門縣金湖鎮金港路旁?","JingangRd.，JinhuTownship，KinmenCountyTaiwan(R.O.C.)","","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／478","免費","","","","","","44456"
"南石滬公園-喊泉","NanshihuPark","南石滬公園有著「迷你張家界」之稱，位在金門東南角料羅村外海岸，過去是開挖地下花崗岩石的礦場，金門產的花崗岩石紋路多元且優美、硬度更勝於大理石，許多著名建物，如：中正紀念堂、桃園國際機場等建築的石材都取自這裡。花崗岩於2002年因不符經濟效益停止開採後，為配合環境保護，將礦場轉為現在的南石滬公園。踏入園區，與蓄水池邊的小風獅爺們打照面，石護欄後的水池倒映著花崗岩壁，人為的開採痕跡，讓岩壁獨具美感，就像是迷你版的張家界，與另一頭的料羅海灣相呼映，記錄下金門曾經的產業文化史。這邊還有全國首創的喊泉設施，深受大家喜愛，紛紛來次大喊能舒壓，看著泉水噴高相當療癒！喊泉開放時間：9:00-17:00(每週四進行設備保養維護，不對外開放使用)每次體驗收費新台幣10元，請自備零錢。","Nanshihu?directlytranslatesasSouthRockLake.Therocksherearen'tjustanyoldrocks—they'regraniteofsuchhighqualitythattheywereusedinthebuildingofSunYat-SenMemorialHallinTaipeiandTaoyuanInternationalAirport.Originallyagranitequarry，operationsceasedin2002whentheywerenolongercost-effective.Thesite'sbeentransformedintoaparkforenvironmentalconservationpurposes.TheWindLionGodsarewaitingontheedgeofthelaketogreetyou!","28","15","118.43846","24.41149","886-82-332528","金門縣金湖鎮南石滬公園?","SiweiRoad，JinhuTownship，KinmenCountyTaiwan，R.O.C?","00:00-24:00喊泉開放時間：9:00-17:00(每週四進行設備保養維護，不對外開放使用)","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／490","免費","","","","","","44456"
"太湖園區-中正紀念公園","ZhongzhengPark","民國65年，前台灣地區領導人蔣中正逝世周年，金門當地軍民為永懷他「德被金門」，特別興建中正公園加以紀念。中正公園入口位於太湖南側，園區包括太湖及榕園，占地面積廣達50公頃；大門有一壯觀牌樓，牌樓中間靠著太湖湖畔，豎立著先總統蔣公的銅像，左手拿著手杖，右手拿著軍帽揮動，流露出慈祥的笑容。公園裡松林成蔭，設有賞湖步道、兒童運動公園、石雕、小橋等。","?TaiLake?isthelargestartificialfreshwaterlakeonKinmen.In1976theCountyGovernmentcombinedthemountainandwateratTaiLake?withthegreenfoliageatBanyanParktocreateZhongzhengPark.Tocelebratethe100thbirthdayofPresidentChiangKai-Shek，in1986themilitaryandcivilianpopulationplantedtreesinfrontofBanyanParktocreateamemorialparkwithtrees，water，lotusandawindingbridge.ThenewtreeswereknownastheZhongzhengMemorialForest.","28","15","118.42671","24.43661","886-82-332528","金門縣金湖鎮太湖路三段?","Sec.3，TaihuRd.，JinhuTownship，KinmenCountyTaiwan，R.O.C?","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／484","免費","","","","","","44456"
"羅保田神父紀念公園","Fr.BernardM.DruettoMemorialPark","羅寶田神父因為征戰波及，西元1954年來到金門，從此就在金門落腳，參與了砲戰期間救治傷患的工作，也為當時醫療技術和設備落後的金門民間，貢獻他畢生的精力。位於金湖鎮太湖畔的羅神父紀念園區，正是羅神父當年為金門百姓看病施藥的「天主教堂」所在地。神父過世後由於長久荒廢乏什管理而毀壞，為了紀念羅寶田神父對金門的貢獻，在原地設立了小巧的羅馬拱門廣場，營造歐洲小鎮的氛圍，純潔的白色蔓延在教堂牆面，白色碎石步道一路指引至門前。雖然目前只有一道教堂正面的景觀傳達意象，仍不減金門對羅神父的尊崇。","ItmayseemsurprisingtocomeacrossthefacadeofachurchbesideTaihu(LakeTai)inShanwai.It'samemorialtoFatherBernardDruetto，whocametoKinmenin1954.?PublicmedicalfacilitiesinKinmenweren'twelldevelopedatthetime，andhereatthissite，inaCatholicchurch，hetreatedpatientswoundedfromtheshelling，savinglives.AfterFatherDruettodied，thechurchwasn'tmaintainedandbecamedilapidated.TocommemoratetheFrenchpriest'scontributiontoKinmen，thisparkwascreated.","28","15","118.41937","24.43861","886-82-332528","金門縣金湖鎮太湖路二段218號?","No.218，Sec.2，TaihuRd.，JinhuTownship，KinmenCountyTaiwan，R.O.C?","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1463","免費","","","","","","44456"
"榕園","BanyanPark","百年的古榕樹齊聚在太湖北岸，「榕園」的意象油然而生，園區裡的榕樹們大多從幾十年前便在此紮根，生長超越一甲子的氣根粗壯無比，枝葉在天空中蜿蜒繚繞，形成一片又一片廣大的綠傘，提供人們乘涼的好所在，午後相約在此下棋飲茶，是金門最道地的生活風景。","There'snothingquiteliketheshadeofahugetreeonasunnyday.YoumightrunintolocalsmeetingupforteaoragameofChinesechesshere.HongShouwasanationalacademyprofessorduringtheMingDynasty.Hewashighlyrespectedformentoringmanystudentswhopassedtheimperialexaminationtobecomegovernmentofficials.Whenthefigtreegardenbecameascenicspot，hishousewasrestored.","28","2，3，4，14，15","118.43201","24.44394","","金門縣金湖鎮金湖鎮太湖北岸","NorthernbankofTaihu，JinhuTownship，KinmenCountyTaiwan，R.O.C?","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／498","免費","","","","","","44456"
"八二三戰役紀念館","August23rdArtilleryBattleMuseum","八二三戰史館建於西元1988年，正是「八二三砲戰」30週年，戰史館外觀為綠色瓦片配上鮮紅圓柱，為一古典中式建築。戰史館正門兩側為國軍將士忠烈錄，牆壁上鐫刻有587位戰役期間殉職官兵的名字，為英勇的事蹟作歷史見証，左側展示F86軍刀機、155公厘加農砲，右側則停放在海陸間穿梭自如的兩棲登陸運兵車、M-24輕型戰車，讓人能夠想像當年陸海空三軍聯合作戰的壯盛情景，展現八二三砲戰始末，與全體軍民精誠團結的英勇表現。館中分為多個展示區，透過圖片、模型等不同的展示方式，讓遊客更能了解砲戰時的猛烈程度及歷史過程，亦設有「震撼劇場」體驗區，供遊客體驗砲火來襲的天搖地動。解說導覽??導覽時間：09:00、10:00、14:00(觀光公車)、15:00、16:00影片導覽??影片名稱：震撼劇場(可容納20人，維修中，暫停開放)??影片長度：3分鐘??播放時間：團體-08:40、09:30、10:30、11:30、13:30、14:30、15:30、16:30散客-09:00、10:00、11:00、12:00、14:00、15:00、16:00","Besidesatimelineaboutthehistoricbattle，youcanalsoseesomeofthemilitaryhardwareused:theF-86Sabrefighterplane，the156-mmhowitzer，anamphibiouslandingvehicle，tracked(LVT)andalighttank，theM24Chaffee.Engravedonthewallsoftheentrancehallarethenamesofthe587officerswholosttheirlivesinthebattle.Thenamesofthe587officerswhohadlosttheirlivesinthebattlewereengravedonthewallsonbothsidesoftheentrancehall.TheleftwingofthemuseumaccommodatestheF-86Sabreandthe155-mmhowitzer.Ontheright，thereisanamphibiouslandingvehicletracked(LVT)andalighttank，theM24Chaffee.Theexhibitsgivevisitorsaglimpseofthejointoperationsthethreeforcescarriedoutinthebattle.Furthermore，visitorscanalsolearnmoreaboutthehistoriceventfromthecomprehensivetimelineandhistoricalfactsoftheAugust23ArtilleryBattleondisplay.Guidedtourschedule，daily-09:00，10:00，13:30，15:00Videoscreeningschedule，daily-”TheaterofShock”，a5-minvideo(inMandarinChinese)-Forgroupvisitors:08:40，9:30，10:30，11:30，13:30，14:30，15:30，16:30-Forindividualvisitors:09:00，10:00，11:00，12:00，14:00，15:00，16:00","28","2，3，4，14","118.43231","24.44311","886-82-330599","金門縣金湖鎮安民村1之11號?","No.1-11，AnminVillage，JinhuTownship，KinmenCountyTaiwan，R.O.C?","每天08:30-17:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／538","免費","","","","","","44456"
"溪邊海水浴場","XibianBeach","溪邊海水浴場位於金湖鎮溪邊村的東側，彎月形的白色沙灘，環抱著一望無際的藍色大海，沙灘上的沙不受污染，沙質綿密、乾淨無暇且細緻，踏上去腳底足感超級棒！沙灘上有許多整齊排列的小沙球，這些是螃蟹製造出來的喔！有這麼多螃蟹在溪邊沙灘上生活，可見這裡真的非常乾淨呢。","XibianBeachislocatedontheeastsideofXibianVillageinJinhuTown.Thecrescent-shapedwhitebeachissurroundedbyanendlessbluesea.Thesandonthebeachisnotpolluted，andthesandisdense，cleanandfine.Steponthesolesofyourfeet.Itfeelsgreat!Therearemanyneatlyarrangedsmallsandballsonthebeach，thesearemadebycrabs!Therearesomanycrabslivingonthebeachbythestream，whichshowsthatitisreallycleanhere.","26","15","118.46851","24.44261","","金門縣金湖鎮溪邊村四維路旁?","Xibian，JinhuTownship，KinmenCountyTaiwan(R.O.C.)","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／423","免費","","","","","","44456"
"復國墩觀景區","FuguoDunguanScenicArea","復國墩聚落則位處金門島最東端，路經傳統古厝聚落後可抵達邊，可看到一些還保留著的軍事工事。這裡沿海為岩岸地形，花崗岩體隆起形成陡峭的斜坡，居高臨下的位置，特別適合設置崗哨。為了防禦敵軍登陸，岩坡上可見遍值葉緣具有鋸齒的龍舌蘭，還有破碎的玻璃酒瓶以混凝土固定在岩石上，形成一整片銳利的「刀坡」。復國墩原名蚵殼墩，意指由蚵殼堆起來的高地，是一半島型的礁石海岸，但卻不產任何蚵仔，經考古研究發現，此地有大量貝塚遺址，存在年代距今約七、八千年前，此重大發現，定名為「復國墩文化」。復國墩周圍多礁岩：目礁、尖礁、黑礁等坐落於海中，在聚落南側目前建有斜坡步道，可達原天然漁船停靠處，後來於後方興建堤岸與海中礁嶼相連，擴建為漁港，目前雖少漁船在此進出，附近海域卻為優良的漁場，吸引眾多釣客到此垂釣。復國墩擁有特殊紅土層地質景觀，周圍的地表還能見到在眾多地質作用下造就而成的特殊地形，是天然的地質教室，到此遊覽不妨細心觀看，腳下所踩岩石的特殊風貌。","TheFuguodunsettlementislocatedattheeasternmosttipofKinmenIsland.Itcanbereachedafterpassingthroughthetraditionalancienthouses.Youcanseesomeremainingmilitaryfortifications.Thecoasthereisarockyterrain，andthegranitebodyupliftstoformasteepslope，occupyingahighandcondescendingposition，whichisespeciallysuitableforsettingupguardposts.Inordertopreventenemylandings，agavewithserratedleafedgescanbeseeneverywhereontherockslope，andbrokenglasswinebottlesarefixedontherockwithconcrete，formingawholesharp”knifeslope”.FuguoDun，formerlyknownasoystershelldun，meansahighlandpiledupbyoystershells.Itisapeninsula-shapedreefcoast，butdoesnotproduceanyoysters.Archaeologicalstudieshavefoundthattherearealargenumberofshellmoundsinthisarea，whichexistedaboutsevenyearsago.，Eightthousandyearsago，thismajordiscoverywasnamed”FuguoDunCulture.”TherearemanyreefrocksaroundFuguoPier:Mujiao，Jianjiao，Heijiao，etc.arelocatedinthesea.Thereiscurrentlyaslopedtrailonthesouthsideofthesettlement，whichcanreachtheoriginalnaturalfishingboatstop.Later，adikewasbuiltinthereartoconnectwiththereefislandinthesea，anditwasexpanded.Itisafishingport.Althoughfewfishingboatscomeinandouthere，thenearbywatersareexcellentfishinggrounds，attractingmanyfishermentogofishinghere.FuguoDunhasaspecialredsoillayergeologicallandscape.Thesurroundinggroundcanalsoseespecialterraincreatedbymanygeologicalactions.Itisanaturalgeologicalclassroom.Youmaywishtotakeacloserlookatthespecialfeaturesoftherocksunderyourfeet.","28","15","118.46655","24.44773","","?金門縣金湖鎮四維路?","Xibian，JinhuTownship，KinmenCountyTaiwan(R.O.C.)","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／456","免費","","","","","","44456"
"迎賓館-鄧麗君紀念館","KinmenGuesthouse","迎賓館位於太武山南雄山麓，為深入花崗岩體的坑道賓館，是金門戰地政務時代最著名的外賓接待所，於1980年完工，被稱為「地下希爾頓飯店」。迎賓館共有31間房間，位於後方長320公尺的坑道內，目前保留了兩間房間的樣貌，一間為新加坡前總理李光耀住過，另一間則是鄧麗君於金門勞軍時多次留宿的「018」房。迎賓館一樓大廳以「戰地防禦設施」及「迎賓館簡介」為展示主軸，陳列如軌條砦、反空降樁、鐵絲網、雷區等軍事地景，呈現戰地政務時期處處戰備的環境。迎賓館二樓以「勞軍」為主題，展示了鄧麗君前來金門勞軍的照片及影片，不要錯過館內撥放的「君在前哨」紀錄片，帶你看見鄧麗君小姐「軍中情人」稱號是從何而來！導覽影片??影片名稱：君在前哨??片長：約15分鐘??播放時間：08:40、09:30、10:30、11:30、13:30、14:30、15:30??預約播放時間：09:00、10:00、11:00、14:00、15:00、16:00解說導覽??預約解說時間：09:00、10:00、11:00、14:00、15:00、16:00。??預約展示館解說需為15人以上(40人以下)。??為非營利單位(旅行社、遊覽公司等旅遊營利單位不受理)之團體方可預約。??預約須於7天前電話提出申請，取消預約須於1天前提出申請，未取消預約且未於預約時間前五分鐘到達者，半年內不得申請預約。","KinmenGuesthouseislocatedtothefootofMountTaiwu.Itisatunnelhotelthatpenetratesthroughgranite.Itwasthemostfamousguesthouseduringthecivilwar.Itwascompletedin1980andhasbeencalled”undergroundHilton.”Theguesthousehas31roomsinatunnelthatis320-meterlong.Theoriginaltworoomshavebeenpreserved:oneonceaccommodatedformerPrimeMinisterofSingapore，LeeKuanYew，whereastheotheraccommodatedTeresaTengseveraltimeswhenshewasperformingforthesoldiersinKinmen，RoomNo.018.Themainhallonthefirstflooroftheguesthouseuses“battlefielddefenseequipment”and“introduction”asthemainthemesandexhibitsanti-landingpiles，anti-landingpoles，steelwires，andminefieldstoshowtheintenseatmosphereduringthecivilwar.Thethemeonthesecondflooris“ArmedForceEntertainment，”whichshowcasesthephotosandvideosofTeresaTengperformingforthesoldiersinKinmen.Don'tmissoutonthedocumentary“Front-LineSoldiers”showninthemuseum，inwhichyoucanseewhyTenggothernameas“thesoldiers’sweetheart.”VideoGuide??Videoname:“Front-LineSoldiers“??Duration:Around15minutes??ShowTimes:08:40、09:30、10:30、11:30、13:30、14:30、15:30??ShowTimesuponReservation：09:00、10:00、11:00、14:00、15:00、16:00GuidedTour??TourTimesuponReservation:09:00、10:00、11:00、14:00、15:00、16:00??Theminimumnumberofpeopleformakingareservationis15(andnomorethan40).??Weonlyacceptreservationsmadebynon-profitorganizations(reservationsmadebytravelagenciesandtourcompaniesarenotaccepted).??Pleasemakeareservationviatelephoneatleast7daysbeforeyourvisit.Cancellationmustbe1daybeforeyourvisit.Ifyoufailtoshowup5minutesbeforethereservedtimeslotwithoutcancellation，youwillnotbeabletomakeanotherreservationwithin6months.","28","2，3，4，15","118.41792","24.44785","886-82-336579","金門縣金湖鎮山外里山外72之1號","No.72-1，Shanwai，JinhuTownship，KinmenCountyTaiwan，R.O.C","每天08:30-17:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1540","免費","","","","","","44456"
"瓊林戰鬥坑道","QionglinTunnel","全長1，355公尺的瓊林戰鬥坑道，是金門規模最大的民防坑道，錯綜複雜的坑道密佈於瓊林村的地底下，共有12個出入口，連接著村中的重要建築物，也可通往村外的機槍堡射口，入口就位於瓊林村辦公室的正下方。瓊林戰鬥坑道是兩岸對峙時期的村落戰鬥防禦設施，於西元1976年完成。坑道內設有指揮所、機槍射口、水井等，就是為了長期戰鬥作準備。坑道內昏黃的燈光讓視覺有點恍惚，狹小如迷宮般的走道通往各處，來到瓊林時不妨親自走一趟瓊林戰鬥坑道，感受下戰時緊張的肅殺氛圍及構築坑道時的辛勞。","The1355-meter-longQionglinTunnelisKinmen'slargest?civildefensetunnel.CrossingQionglinVillageunderground，ithas12entrancesandexitsthatleadtoimportantfacilitiesinthevillageaswellasthegunfortressjustoutsidethevillage.ThecommandcenterforthetunnelisrightbeneaththeQionglinVillageOffice.TheentrancetothetunnelisattheVillageOffice.Builtin1976，QionglinTunnelwasregularlyusedbyvillagerstoshelterfromfallingbombsduringthecivilwar.It'sevenequippedwithawellincaseoflongtermstaysDependinghowlongyoutaketolookatthedisplaysinside，ittakesabout20-30mintowalktheentirelengthofthetunnel.Onceyoureachtheexit，taketimetoenjoystrollingbacktotheVillageOfficewhereyoustarted，thistimeaboveground.","28","2，3，4，15","118.37291","24.45518","886-82-332164","金門縣金湖鎮金門縣金湖鎮瓊林村236-1號(瓊林村辦公室)?","QionglinSt.，JinhuTownship，KinmenCountyTaiwan，R.O.C?","每天08:30-17:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1345","免費","","","","","","44456"
"小徑831特約茶室展示館","MilitaryBrothelExhibitionHall","位於小徑村內的特約茶室展示館，前身為「八三夭」（「831」）亦稱為「軍中樂園」。早期大批阿兵哥因戰爭退守金門，大都借住在民房或屋主僑居南洋的空屋，以及各村落的祠堂、廟宇等地。但和居民長時間的相處下，軍民間難免會衍生一些男女感情糾紛，為了解決此類問題，金門於西元1950年，在金門朱子祠附近設立了第一座「軍中樂園」，而現今的特約茶室展示館則是利用原有之「小徑特約茶室」的空間，來陳展這一段歷史。現今的特約茶室揮別了以往，藉由觀光注入新的生命，當你走進特約茶室，能透過牆面上的文字故事，了解擔任侍應生的百般無奈及戰爭的殘酷。逛完屋內的展覽後，也可至咖啡廳短暫休憩，慢想歷史戰事的反饋，讓旅遊更具意義。","TheMilitaryBrothelExhibitionHallinXiaojingVillagenicknamed“831”or“militarywonderland”wasrenovatedin2010andmadeatouristattraction.Duringwartime，asmanyas100，000soldiersretreatedandbecamestationedinKinmen.Duetothatin-trainingandon-dutysoldierswereprohibitedfromgettingmarriedbyMinistryofNationalDefense，andthatthevacationsystemwasincomplete，thefirstmilitarybrothelwasestablishedtosatisfythesexualneedsofsoldiersstationedinKinmenin1951.Therewereonceseven831’sinKinmenlocatedinBeimen，Anqian，Xiaojing，Chenggong，Xinshili，YangzhaiinJinsha，andXizhaiinLesserKinmen.TheMilitaryBrothelExhibitionHallusesthespaceoftheformerXiaojingSpecialTeaHousetoshowcasethehistory.Throughdecorationsandtextualdescriptionsonthewall，visitorscanlearnaboutthehistoryandlivingandworkingconditionsofthewaitressesthen.Thereisalsoacafeinthemuseumwherevisitorscantakeashortbreak.","28","2，3，4，15","118.38483","24.44832","886-82-337839","金門縣金湖鎮小徑126號?","No.126，Xiaojing，JinhuTownship，KinmenCountyTaiwan，R.O.C?","每天08:30-17:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1822","免費","","","","","","44456"
"明魯王墓園","MingluKingCemetery","??明魯王墓位於太武山西南山麓，背枕太武山、面臨雙乳峰，可眺望大陸山河，依天然形勢成三級梯狀，首先牌坊再來黃蓋亭，亭中安置千斤鼎，最後看見石塊砌築的圓形新塚。明魯王墓是在民國48年，奉先總統蔣公指示建墓，於52年舉行安葬大典，墓園四周環境清幽。民國48年8月22日，國軍在金門舊金城東炸山採石時，發現了一座古墓。並在石穴中找到一個石碑。經解讀碑文後，發現為明朝監國魯王的壙誌。同時出土的還包括了永曆通寶及方磚等。碑文闡述的魯王生平事蹟，也可以考證魯王的過世非如清廷文獻所述，死於鄭成功的謀害，乃因死於喘疾。這個發現，洗去了鄭成功多年不白之冤。而後更發現，鄭成功的過世還在魯王之前。","ThetombofKingLuofMingDynastyislocatedinthesouthwestfoothillsofTaiwuMountain.ItisbackedbyTaiwuMountainandfacesShuangruPeak.Itoverlooksthemountainsandriversofthemainland.Itisformedintoathree-levelladderaccordingtothenaturalsituation.Newroundmasonrymound.ThetombofMingluKingwasbuiltinthe48thyearoftheRepublicofChina.ThetombwasbuiltundertheinstructionsoftheformerPresidentJiangGong.Theburialceremonywasheldin52.Thesurroundingenvironmentofthecemeteryisquiet.OnAugust22，RepublicofChina，thearmyfoundanancienttombwhilebombingandquarryingintheeastofJinmenOldJincheng.Andfoundasteleinthecave.Afterinterpretingtheinscription，itwasdiscoveredthatitwastheMingDynasty'ssuperintendentofKingLu.AlsounearthedatthesametimeincludeYongliTongbaoandsquarebricks.ThelifeanddeedsofKingLudescribedintheinscriptioncanalsoprovethatKingLu’sdeathwasnotduetoZhengChenggong’smurder，asdescribedinQingcourtdocuments，butduetoasthma.ThisdiscoveryhaswashedawayZhengChenggong'smanyyearsofinjustice.Later，itwasdiscoveredthatZhengChenggong'sdeathwasstillbeforeKingLu.","28","15","118.38711","24.44769","886-82-313100","金門縣金湖鎮伯玉路五段旁?","Sec.5，BoyuRd.，JinhuTownship，KinmenCountyTaiwan(R.O.C.)","00:00-24:00","","","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／689","免費","","","","","","44456"
"柳營營區","LiuyuMilitaryCamp","要說金門最真實的戰地氛圍體驗點，則非柳營營區莫屬！其前身是尚義工兵營。在部隊裁撤後成了閒置空間，然而這裡是經歷戰火歷練的場地，具有豐富的文化價值，為了活化史蹟，金門縣政府特地在柳營營區內增設遊憩設施。","Donamilitaryuniformandexperiencethethrillofabattlegroundwithoutthedanger.Atthisformermilitarybase，youcantestyourshootingskillsonalasertag”battleground”anddartplayground.","28","2，3，4，15","118.37971","24.43786","886-82-335027","","NearNo.9CoastalPatrolBrigade，No.198，ShangyiVillage，JinhuTownship，KinmenCountyTaiwan，R.O.C","09:00-12:00／13:30-16:30","每周一休息","ClosedeveryMonday","","","","","","","https:／／kinmen.travel／zh-tw／Travel／Attraction／1391","50元","","","","","","44456"